medinc,GEOID
74183,06037119900
50500,06037120010
32551,06037120020
27162,06037120030
28073,06037120103
36375,06037120104
32202,06037120105
31897,06037120106
27986,06037120107
36707,06037120108
67241,06037120300
51554,06037120400
64135,06037121010
50685,06037121020
50833,06037121101
46628,06037121102
62109,06037121210
60278,06037121221
48883,06037121222
78750,06037121600
34628,06037121801
64293,06037121802
52708,06037121900
72715,06037122000
54722,06037122120
49318,06037122121
40156,06037122122
58818,06037122200
31397,06037122410
42000,06037122420
32768,06037123010
51042,06037123020
45000,06037123103
43012,06037123104
39454,06037123203
39970,06037123204
46295,06037123205
34458,06037123206
60144,06037123301
40700,06037123303
37935,06037123304
52500,06037123410
43290,06037123420
47292,06037123510
53098,06037123520
54283,06037123601
55641,06037123602
66726,06037123700
63333,06037123800
50132,06037123901
65977,06037123902
84201,06037124000
46723,06037124102
41702,06037124103
39083,06037124104
44177,06037124105
52917,06037124201
48750,06037124203
48041,06037124204
42643,06037124300
75670,06037124400
91667,06037124500
71750,06037124600
90795,06037124700
34572,06037124902
56223,06037124903
66134,06037125100
64219,06037125200
53022,06037125310
34681,06037125320
59824,06037125401
66546,06037125402
47227,06037125501
65919,06037125502
81357,06037125600
43579,06037127102
42477,06037127103
39931,06037127104
51658,06037127210
40665,06037127220
53476,06037127300
48193,06037127400
29842,06037127520
40731,06037127603
41753,06037127604
41701,06037127605
62736,06037127606
63650,06037127711
39333,06037127712
36269,06037127803
50564,06037127804
43135,06037127805
36633,06037127806
41083,06037127910
54038,06037127920
57313,06037128101
45517,06037128102
31223,06037128210
38910,06037128220
45508,06037128302
38243,06037128303
75000,06037128400
64676,06037128500
44963,06037128601
85670,06037128602
74120,06037128702
61821,06037128801
88375,06037128802
91161,06037128910
55323,06037131010
67500,06037131020
68553,06037131100
69250,06037131200
68077,06037131300
65255,06037131400
68214,06037131600
53561,06037131701
67054,06037131702
61758,06037131800
75255,06037131900
75000,06037132001
102989,06037132002
72908,06037132101
50664,06037132102
42708,06037132300
